track_id,track_name,artist_id,artist_name,popularity,features
1ThGfabfIMwR7JX2HmrZl3,ASOBO -English ver.-,3z8diLlUCkN1j9N9ZdnfBJ,NiziU,0,"{'danceability': 0.862, 'energy': 0.724, 'key': 10, 'loudness': -4.68, 'mode': 1, 'speechiness': 0.0656, 'acousticness': 0.0539, 'instrumentalness': 0.006, 'liveness': 0.242, 'valence': 0.718, 'tempo': 118.046, 'type': 'audio_features', 'id': '1ThGfabfIMwR7JX2HmrZl3', 'uri': 'spotify:track:1ThGfabfIMwR7JX2HmrZl3', 'track_href': 'https://api.spotify.com/v1/tracks/1ThGfabfIMwR7JX2HmrZl3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1ThGfabfIMwR7JX2HmrZl3', 'duration_ms': 181059, 'time_signature': 4}"
0iWFz0Q5Qha9bx325ocFWq,Best Lover,1AhjOkOLkbHUfcHDSErXQs,88rising,59,"{'danceability': 0.74, 'energy': 0.663, 'key': 7, 'loudness': -5.393, 'mode': 1, 'speechiness': 0.272, 'acousticness': 0.268, 'instrumentalness': 0, 'liveness': 0.121, 'valence': 0.519, 'tempo': 82.004, 'type': 'audio_features', 'id': '0iWFz0Q5Qha9bx325ocFWq', 'uri': 'spotify:track:0iWFz0Q5Qha9bx325ocFWq', 'track_href': 'https://api.spotify.com/v1/tracks/0iWFz0Q5Qha9bx325ocFWq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0iWFz0Q5Qha9bx325ocFWq', 'duration_ms': 152911, 'time_signature': 4}"
2eaBDpBKGwbcGPZEolnN1z,Postcards from Rome,4eMIZNb3qBMQXkfwCaA31H,Anthony Lazaro,35,"{'danceability': 0.73, 'energy': 0.244, 'key': 9, 'loudness': -15.294, 'mode': 1, 'speechiness': 0.0477, 'acousticness': 0.935, 'instrumentalness': 0.0117, 'liveness': 0.105, 'valence': 0.391, 'tempo': 92.142, 'type': 'audio_features', 'id': '2eaBDpBKGwbcGPZEolnN1z', 'uri': 'spotify:track:2eaBDpBKGwbcGPZEolnN1z', 'track_href': 'https://api.spotify.com/v1/tracks/2eaBDpBKGwbcGPZEolnN1z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2eaBDpBKGwbcGPZEolnN1z', 'duration_ms': 135815, 'time_signature': 4}"
4tUD7hWCLtrd4Ey5xq62bN,Hey!,4eMIZNb3qBMQXkfwCaA31H,Anthony Lazaro,23,"{'danceability': 0.711, 'energy': 0.354, 'key': 0, 'loudness': -12.836, 'mode': 1, 'speechiness': 0.0699, 'acousticness': 0.601, 'instrumentalness': 1.47e-06, 'liveness': 0.196, 'valence': 0.6, 'tempo': 169.899, 'type': 'audio_features', 'id': '4tUD7hWCLtrd4Ey5xq62bN', 'uri': 'spotify:track:4tUD7hWCLtrd4Ey5xq62bN', 'track_href': 'https://api.spotify.com/v1/tracks/4tUD7hWCLtrd4Ey5xq62bN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4tUD7hWCLtrd4Ey5xq62bN', 'duration_ms': 134471, 'time_signature': 4}"
1bFGGcm9ttACXufVIAoJVV,High Five,2ITl7YzD1Hm6NVojBhKkOp,Miisha Shimizu,30,"{'danceability': 0.754, 'energy': 0.8, 'key': 5, 'loudness': -2.007, 'mode': 1, 'speechiness': 0.0455, 'acousticness': 0.471, 'instrumentalness': 0, 'liveness': 0.0827, 'valence': 0.801, 'tempo': 111.976, 'type': 'audio_features', 'id': '1bFGGcm9ttACXufVIAoJVV', 'uri': 'spotify:track:1bFGGcm9ttACXufVIAoJVV', 'track_href': 'https://api.spotify.com/v1/tracks/1bFGGcm9ttACXufVIAoJVV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1bFGGcm9ttACXufVIAoJVV', 'duration_ms': 193832, 'time_signature': 4}"
3rTr1qTpL9HxTPS0zNd69a,Beautiful You,5apbo7p8o1eX4x94TBHUGh,AK Akemi Kakihara,3,"{'danceability': 0.563, 'energy': 0.841, 'key': 3, 'loudness': -4.016, 'mode': 1, 'speechiness': 0.0308, 'acousticness': 0.114, 'instrumentalness': 7.13e-05, 'liveness': 0.0921, 'valence': 0.6, 'tempo': 127.989, 'type': 'audio_features', 'id': '3rTr1qTpL9HxTPS0zNd69a', 'uri': 'spotify:track:3rTr1qTpL9HxTPS0zNd69a', 'track_href': 'https://api.spotify.com/v1/tracks/3rTr1qTpL9HxTPS0zNd69a', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3rTr1qTpL9HxTPS0zNd69a', 'duration_ms': 277492, 'time_signature': 4}"
29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,19eLuQmk9aCobbVDHc6eek,Louis Armstrong,78,"{'danceability': 0.271, 'energy': 0.165, 'key': 5, 'loudness': -20.652, 'mode': 1, 'speechiness': 0.0351, 'acousticness': 0.726, 'instrumentalness': 1.54e-06, 'liveness': 0.118, 'valence': 0.202, 'tempo': 77.082, 'type': 'audio_features', 'id': '29U7stRjqHU6rMiS8BfaI9', 'uri': 'spotify:track:29U7stRjqHU6rMiS8BfaI9', 'track_href': 'https://api.spotify.com/v1/tracks/29U7stRjqHU6rMiS8BfaI9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/29U7stRjqHU6rMiS8BfaI9', 'duration_ms': 139227, 'time_signature': 4}"
2pFNMWxBsSKlcP8SCvSJt4,Sunbed,6H9BOh1aFTuoa6xFMV3z8g,1ho,12,"{'danceability': 0.382, 'energy': 0.64, 'key': 0, 'loudness': -3.968, 'mode': 1, 'speechiness': 0.0323, 'acousticness': 0.632, 'instrumentalness': 0, 'liveness': 0.636, 'valence': 0.574, 'tempo': 94.801, 'type': 'audio_features', 'id': '2pFNMWxBsSKlcP8SCvSJt4', 'uri': 'spotify:track:2pFNMWxBsSKlcP8SCvSJt4', 'track_href': 'https://api.spotify.com/v1/tracks/2pFNMWxBsSKlcP8SCvSJt4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2pFNMWxBsSKlcP8SCvSJt4', 'duration_ms': 190477, 'time_signature': 4}"
38hndqHRm6jQEwUMHlUWjl,kiss my lips,5YPCpDIPOY4WqY9Bqdw4Uc,Jimmy Brown,34,"{'danceability': 0.767, 'energy': 0.668, 'key': 9, 'loudness': -5.249, 'mode': 1, 'speechiness': 0.0538, 'acousticness': 0.454, 'instrumentalness': 0.00201, 'liveness': 0.0883, 'valence': 0.454, 'tempo': 129.97, 'type': 'audio_features', 'id': '38hndqHRm6jQEwUMHlUWjl', 'uri': 'spotify:track:38hndqHRm6jQEwUMHlUWjl', 'track_href': 'https://api.spotify.com/v1/tracks/38hndqHRm6jQEwUMHlUWjl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/38hndqHRm6jQEwUMHlUWjl', 'duration_ms': 195692, 'time_signature': 4}"
74gDp9H7fO1OZLS9RTKsoF,u & i verse (feat. Jade),6AQ46ZELHFOGM8YAVjMmT9,lofi,13,"{'danceability': 0.392, 'energy': 0.495, 'key': 11, 'loudness': -7.434, 'mode': 1, 'speechiness': 0.0474, 'acousticness': 0.633, 'instrumentalness': 0.0315, 'liveness': 0.161, 'valence': 0.237, 'tempo': 80.115, 'type': 'audio_features', 'id': '74gDp9H7fO1OZLS9RTKsoF', 'uri': 'spotify:track:74gDp9H7fO1OZLS9RTKsoF', 'track_href': 'https://api.spotify.com/v1/tracks/74gDp9H7fO1OZLS9RTKsoF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/74gDp9H7fO1OZLS9RTKsoF', 'duration_ms': 180500, 'time_signature': 4}"
